60 75
2 10 1
3 11 1
6 13 1
4 16 1
12 17 1
16 17 1
2 21 1
3 21 1
15 21 1
15 22 1
15 24 1
4 28 1
21 28 1
15 29 1
17 30 1
5 31 1
2 33 1
23 33 1
11 34 1
12 34 1
13 34 1
27 34 1
3 36 1
6 36 1
11 36 1
3 37 1
23 37 1
29 38 1
2 39 1
16 40 1
9 41 1
34 41 1
24 42 1
32 42 1
35 42 1
16 43 1
5 44 1
10 44 1
17 44 1
24 44 1
28 45 1
5 47 1
18 47 1
19 47 1
12 48 1
16 48 1
17 48 1
30 49 1
38 49 1
12 50 1
27 50 1
41 50 1
48 53 1
49 53 1
28 54 1
53 54 1
12 55 1
16 55 1
17 55 1
18 56 1
40 56 1
43 56 1
55 56 1
23 57 1
29 57 1
35 57 1
39 57 1
7 58 1
36 58 1
44 58 1
10 59 1
23 59 1
15 60 1
20 60 1
42 60 1
