61 222
1 2 187
1 3 -197
1 4 113
1 5 -346
1 6 361
1 7 -179
1 8 27
1 10 -52
1 11 15
1 12 206
1 13 -130
1 14 33
1 15 115
1 16 -65
1 17 -199
1 18 176
1 19 -6
1 20 83
1 21 191
1 22 -214
1 23 -3
1 24 5
1 25 69
1 26 124
1 27 51
1 28 -118
1 29 -230
1 30 -82
1 31 -47
1 32 229
1 33 157
1 34 54
1 35 -50
1 36 123
1 37 -93
1 38 -191
1 39 182
1 40 -51
1 41 -45
1 42 15
1 43 210
1 44 135
1 45 368
1 46 48
1 47 -1
1 48 191
1 49 22
1 50 59
1 51 -57
1 52 88
1 53 196
1 54 55
1 55 340
1 56 75
1 57 114
1 58 -146
1 59 210
1 60 137
1 61 106
2 3 26
2 20 -78
2 32 -66
2 61 31
3 5 89
3 6 16
3 15 17
3 36 39
3 51 34
4 10 24
4 13 38
4 33 -87
4 47 19
4 51 -15
4 53 -70
5 14 -33
5 19 -30
5 23 47
5 24 56
5 33 22
5 40 85
5 48 8
5 49 68
6 20 -36
6 27 -96
6 28 -59
6 35 -51
6 37 -50
7 11 45
7 18 13
7 38 31
8 22 64
8 23 -39
8 45 89
8 46 30
8 55 -9
8 59 -87
9 11 -9
9 21 27
9 28 39
9 29 -9
9 53 46
10 17 11
10 36 51
11 47 -34
11 58 46
12 22 -63
12 26 -58
12 32 -82
12 34 -82
12 47 -35
12 57 -24
12 61 47
13 18 -36
13 28 63
13 31 92
13 36 -5
13 53 -98
14 57 8
14 60 -45
15 34 -42
15 42 64
15 53 -100
15 59 -54
15 61 -19
16 32 1
16 38 -37
16 41 54
16 43 -27
16 55 18
16 61 45
17 28 98
17 33 55
17 38 33
18 39 -96
18 45 -47
18 57 65
19 20 -52
19 34 66
19 40 -23
19 45 -39
20 21 -28
20 22 49
20 52 13
21 26 -13
21 33 -91
22 41 38
22 49 94
23 38 94
23 49 -82
23 58 63
23 60 -1
24 26 -61
24 36 -49
24 39 -41
24 52 22
25 40 -2
25 48 -88
25 54 -43
27 31 52
27 37 60
27 49 24
27 55 -30
28 32 -92
28 42 -99
28 44 26
28 51 43
28 59 51
29 40 91
29 55 49
30 36 61
30 39 -79
30 44 -76
30 50 93
31 43 -65
31 46 68
31 50 -41
31 55 -92
32 39 -44
35 36 -23
35 54 17
35 58 7
36 58 -14
36 59 -88
37 43 6
37 44 58
37 48 -87
37 51 14
38 40 6
38 47 68
38 53 90
39 42 25
39 44 43
39 55 69
40 45 -16
40 59 -39
41 42 41
42 48 -79
43 47 -91
43 50 -65
43 55 27
43 61 -94
44 55 18
44 57 -65
44 60 -100
45 47 -15
45 51 -77
45 55 -99
45 59 -30
45 61 -77
46 53 -95
47 54 58
48 60 56
49 50 49
49 54 -83
52 53 -42
52 55 -87
52 56 -44
53 55 6
53 59 60
54 59 -23
55 56 -98
55 57 -74
