33 276
33 1 1.000000
2 1 1.000000
2 33 1.000000
3 1 1.000000
3 33 1.000000
3 2 1.000000
4 1 1.000000
4 33 1.000000
4 2 1.000000
4 3 1.000000
5 1 1.000000
5 33 1.000000
5 2 1.000000
5 3 1.000000
5 4 1.000000
6 1 1.000000
6 33 1.000000
6 2 1.000000
6 3 1.000000
6 4 1.000000
6 5 1.000000
7 1 1.000000
7 33 1.000000
7 2 1.000000
7 3 1.000000
7 4 1.000000
7 5 1.000000
7 6 1.000000
8 1 1.000000
8 33 1.000000
8 2 1.000000
8 3 1.000000
8 4 1.000000
8 5 1.000000
8 6 1.000000
8 7 1.000000
9 1 1.000000
9 33 1.000000
9 2 1.000000
9 3 1.000000
9 4 1.000000
9 5 1.000000
9 6 1.000000
9 7 1.000000
9 8 1.000000
10 1 1.000000
10 33 1.000000
10 2 1.000000
10 3 1.000000
10 4 1.000000
10 5 1.000000
10 6 1.000000
10 7 1.000000
10 8 1.000000
10 9 1.000000
11 1 1.000000
11 33 1.000000
11 2 1.000000
11 3 1.000000
11 4 1.000000
11 5 1.000000
11 6 1.000000
11 7 1.000000
11 8 1.000000
11 9 1.000000
11 10 1.000000
12 1 1.000000
12 33 1.000000
12 2 1.000000
12 3 1.000000
12 4 1.000000
12 5 1.000000
12 6 1.000000
12 7 1.000000
12 8 1.000000
12 9 1.000000
12 10 1.000000
12 11 1.000000
13 1 1.000000
13 33 1.000000
13 2 1.000000
13 3 1.000000
13 4 1.000000
13 5 1.000000
13 6 1.000000
13 7 1.000000
13 8 1.000000
13 9 1.000000
13 10 1.000000
13 11 1.000000
13 12 1.000000
14 1 1.000000
14 33 1.000000
14 2 1.000000
14 3 1.000000
14 4 1.000000
14 5 1.000000
14 6 1.000000
14 7 1.000000
14 8 1.000000
14 9 1.000000
14 10 1.000000
14 11 1.000000
14 12 1.000000
14 13 1.000000
15 1 1.000000
15 33 1.000000
15 2 1.000000
15 3 1.000000
15 4 1.000000
15 5 1.000000
15 6 1.000000
15 7 1.000000
15 8 1.000000
15 9 1.000000
15 10 1.000000
15 11 1.000000
15 12 1.000000
15 13 1.000000
15 14 1.000000
16 1 1.000000
16 33 1.000000
16 2 1.000000
16 3 1.000000
16 4 1.000000
16 5 1.000000
16 6 1.000000
16 7 1.000000
16 8 1.000000
16 9 1.000000
16 10 1.000000
16 11 1.000000
16 12 1.000000
16 13 1.000000
16 14 1.000000
16 15 1.000000
17 1 1.000000
17 33 1.000000
17 2 1.000000
17 3 1.000000
17 4 1.000000
17 5 1.000000
17 6 1.000000
17 7 1.000000
17 8 1.000000
17 9 1.000000
17 10 1.000000
17 11 1.000000
17 12 1.000000
17 13 1.000000
17 14 1.000000
17 15 1.000000
17 16 1.000000
18 33 1.000000
18 3 1.000000
18 7 1.000000
18 8 1.000000
18 10 1.000000
18 16 1.000000
19 33 1.000000
19 3 1.000000
19 7 1.000000
19 8 1.000000
19 10 1.000000
19 16 1.000000
19 18 1.000000
20 33 1.000000
20 3 1.000000
20 7 1.000000
20 8 1.000000
20 10 1.000000
20 16 1.000000
20 18 1.000000
20 19 1.000000
21 18 1.000000
21 19 1.000000
21 20 1.000000
22 18 1.000000
22 19 1.000000
22 20 1.000000
22 21 1.000000
23 18 1.000000
23 19 1.000000
23 20 1.000000
23 21 1.000000
23 22 1.000000
24 18 1.000000
24 19 1.000000
24 20 1.000000
24 21 1.000000
24 22 1.000000
24 23 1.000000
25 18 1.000000
25 19 1.000000
25 20 1.000000
25 21 1.000000
25 22 1.000000
25 23 1.000000
25 24 1.000000
26 18 1.000000
26 19 1.000000
26 20 1.000000
26 21 1.000000
26 22 1.000000
26 23 1.000000
26 24 1.000000
26 25 1.000000
27 18 1.000000
27 19 1.000000
27 20 1.000000
27 21 1.000000
27 22 1.000000
27 23 1.000000
27 24 1.000000
27 25 1.000000
27 26 1.000000
28 18 1.000000
28 19 1.000000
28 20 1.000000
28 21 1.000000
28 22 1.000000
28 23 1.000000
28 24 1.000000
28 25 1.000000
28 26 1.000000
28 27 1.000000
29 18 1.000000
29 19 1.000000
29 20 1.000000
29 21 1.000000
29 22 1.000000
29 23 1.000000
29 24 1.000000
29 25 1.000000
29 26 1.000000
29 27 1.000000
29 28 1.000000
30 18 1.000000
30 19 1.000000
30 20 1.000000
30 21 1.000000
30 22 1.000000
30 23 1.000000
30 24 1.000000
30 25 1.000000
30 26 1.000000
30 27 1.000000
30 28 1.000000
30 29 1.000000
31 18 1.000000
31 19 1.000000
31 20 1.000000
31 21 1.000000
31 22 1.000000
31 23 1.000000
31 24 1.000000
31 25 1.000000
31 26 1.000000
31 27 1.000000
31 28 1.000000
31 29 1.000000
31 30 1.000000
32 18 1.000000
32 19 1.000000
32 20 1.000000
32 21 1.000000
32 22 1.000000
32 23 1.000000
32 24 1.000000
32 25 1.000000
32 26 1.000000
32 27 1.000000
32 28 1.000000
32 29 1.000000
32 30 1.000000
32 31 1.000000


