15
99
2 1 -8.0
3 1 -18.0
4 1 -30.0
4 3 -12.0
5 1 -88.0
5 2 -76.0
5 3 -22.0
5 4 -94.0
6 1 -72.0
6 2 -12.0
6 3 -76.0
6 4 -18.0
6 5 -12.0
7 1 -52.0
7 2 -8.0
7 3 -4.0
7 4 -98.0
7 5 -82.0
7 6 -28.0
8 1 -6.0
8 2 -72.0
8 3 -80.0
8 4 -2.0
8 5 -84.0
8 6 -82.0
8 7 -40.0
9 1 -34.0
9 2 -48.0
9 3 -36.0
9 4 -10.0
9 5 -88.0
9 6 -90.0
9 7 -82.0
9 8 -24.0
10 1 -100.0
10 2 -6.0
10 4 -36.0
10 5 -72.0
10 6 -90.0
10 7 -12.0
10 8 -60.0
11 1 -2.0
11 2 -98.0
11 3 -26.0
11 4 -4.0
11 5 -10.0
11 6 -16.0
11 7 -8.0
11 8 -2.0
11 9 -12.0
11 10 -94.0
12 1 -14.0
12 2 -4.0
12 3 -2.0
12 4 -94.0
12 5 -26.0
12 6 -94.0
12 7 -96.0
12 8 -24.0
12 10 -68.0
12 11 -68.0
13 1 -18.0
13 2 -32.0
13 3 -28.0
13 4 -6.0
13 5 -90.0
13 6 -84.0
13 7 -88.0
13 8 -92.0
13 9 -100.0
13 10 -42.0
13 11 -42.0
13 12 -98.0
14 1 -80.0
14 2 -40.0
14 3 -74.0
14 4 -94.0
14 5 -4.0
14 6 -90.0
14 7 -8.0
14 8 -100.0
14 9 -84.0
14 10 -28.0
14 11 -94.0
14 12 -28.0
14 13 -96.0
15 1 -6.0
15 2 -92.0
15 3 -16.0
15 5 -100.0
15 6 -90.0
15 7 -12.0
15 8 -28.0
15 9 -60.0
15 10 -84.0
15 11 -100.0
15 12 -92.0
15 13 -88.0
15 14 -90.0
264.0 
248.0 
197.0 
249.0 
424.0 
427.0 
309.0 
348.0 
334.0 
346.0 
288.0 
354.0 
452.0 
455.0 
429.0 
