25
325
1 1 85.07812
1 2 19.70312
1 3 85.07812
1 4 88.45312
1 5 85.07812
1 6 85.07812
1 7 85.07812
1 8 14.10938
1 9 62.32812
1 10 85.07812
1 11 85.07812
1 12 85.07812
1 13 85.07812
1 14 25.14062
1 15 85.07812
1 16 85.07812
1 17 85.07812
1 18 85.07812
1 19 85.07812
1 20 13.875
1 21 85.07812
1 22 85.07812
1 23 85.07812
1 24 85.07812
1 25 85.07812
2 2 85.07812
2 3 15.67188
2 4 15.79688
2 5 85.07812
2 6 85.07812
2 7 85.07812
2 8 85.07812
2 9 85.07812
2 10 85.07812
2 11 85.07812
2 12 85.07812
2 13 86.1875
2 14 85.07812
2 15 81.1875
2 16 84.92188
2 17 85.07812
2 18 85.07812
2 19 85.07812
2 20 85.07812
2 21 85.07812
2 22 85.07812
2 23 85.07812
2 24 85.07812
2 25 15.71875
3 3 85.07812
3 4 85.07812
3 5 85.07812
3 6 85.07812
3 7 85.07812
3 8 16.28125
3 9 85.07812
3 10 90.96875
3 11 13.5
3 12 85.07812
3 13 11.54688
3 14 85.07812
3 15 85.07812
3 16 85.07812
3 17 37.07812
3 18 85.07812
3 19 85.07812
3 20 85.07812
3 21 85.07812
3 22 85.07812
3 23 85.07812
3 24 85.07812
3 25 85.07812
4 4 85.07812
4 5 85.07812
4 6 85.07812
4 7 44.82812
4 8 85.07812
4 9 85.07812
4 10 85.07812
4 11 13.64062
4 12 14.64062
4 13 85.07812
4 14 85.07812
4 15 85.07812
4 16 85.07812
4 17 85.07812
4 18 33.32812
4 19 85.07812
4 20 85.07812
4 21 85.07812
4 22 14.23438
4 23 30.20312
4 24 85.07812
4 25 85.07812
5 5 79.5625
5 6 85.07812
5 7 85.07812
5 8 85.07812
5 9 85.07812
5 10 85.07812
5 11 20.1875
5 12 85.07812
5 13 85.07812
5 14 85.07812
5 15 85.07812
5 16 85.07812
5 17 85.07812
5 18 85.07812
5 19 85.07812
5 20 16.54688
5 21 85.07812
5 22 85.07812
5 23 12.29688
5 24 85.625
5 25 85.07812
6 6 85.07812
6 7 85.07812
6 8 85.07812
6 9 85.07812
6 10 85.07812
6 11 85.07812
6 12 64.375
6 13 85.07812
6 14 85.07812
6 15 85.07812
6 16 85.07812
6 17 70.64062
6 18 85.07812
6 19 85.07812
6 20 85.67188
6 21 85.07812
6 22 85.07812
6 23 85.07812
6 24 85.07812
6 25 10.29688
7 7 85.07812
7 8 12.59375
7 9 85.07812
7 10 85.07812
7 11 12.9375
